logged_live_date,tieba_content,source_url,classification,archive_entry,reason
2016-01-07,besiege 12月更新版,https://tieba.baidu.com/p/4363790737,create,2016-01-07-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-01-08,逆转裁判,https://tieba.baidu.com/p/4363790737,create,2016-01-08-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-01-19,poly bridge最终关,https://tieba.baidu.com/p/4363790737,create,2016-01-19-live-01,贴吧明确记载、前后无矛盾；另有斗鱼直播间快照；公开录像暂未找到
2016-01-22,slime racher,https://tieba.baidu.com/p/4363790737,create,2016-01-22-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-01-26,poly bridge,https://tieba.baidu.com/p/4363790737,create,2016-01-26-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-01-27,boxboy,https://tieba.baidu.com/p/4363790737,create,2016-01-27-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-01-28,潜伏之赤途 （橙光游戏）,https://tieba.baidu.com/p/4363790737,create,2016-01-28-live-01,贴吧明确记载；档案原 2015-01-28-live-01《潜伏之赤途》民间录像经优酷编号定为 2016 年上传、与本日逐字相合，并入本条（原 id 停用）
2016-02-01,塞达尔三角力量,https://tieba.baidu.com/p/4363790737,create,2016-02-01-live-01,贴吧明确记载、前后无矛盾；另有斗鱼直播间快照；公开录像暂未找到
2016-02-17,火影忍者究极风暴4,https://tieba.baidu.com/p/4363790737,create,2016-02-17-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-02-18,火影忍者究极风暴4,https://tieba.baidu.com/p/4363790737,create,2016-02-18-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-02-23,minecraft ; 地图：水星生存日记,https://tieba.baidu.com/p/4363790737,create,2016-02-23-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-02-25,极地战嚎：野蛮纪源,https://tieba.baidu.com/p/4363790737,create,2016-02-25-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-03-02,逆袭之星途闪耀 3月1号更新章（橙光游戏）,https://tieba.baidu.com/p/4363790737,create,2016-03-02-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-03-04,minecraft1.8.8（b站MC主题建筑擂台赛）,https://tieba.baidu.com/p/4363790737,create,2016-03-04-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
